Asset #,Inscription #,Title,Description,Image,To,Inscription Link,deposit address,tokenId,vault owner,name,emblem link
11,669,Litecoin Punk #11 (Inscription 669),Litecoin Punk #11. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/dffbc5042b35cacfdb5c1e6a98ab7ab801bc5cd1bfaf93cce9f3680356063026i0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/dffbc5042b35cacfdb5c1e6a98ab7ab801bc5cd1bfaf93cce9f3680356063026i0,LetrDurG6ppdLC7e34zQaBiQeSzvi3o6c1,45361485458326841,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #11 (Inscription #669),https://emblem.finance/nft?id=45361485458326841
12,670,Litecoin Punk #12 (Inscription 670),Litecoin Punk #12. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/08b6bf0729ef096a97551787e9710dc7613aec44191336884e17603148752e1fi0,0xa9ecBF58262CbFc3d43302393Ed8785e58a12d59,https://litecoin.earlyordies.com/inscription/08b6bf0729ef096a97551787e9710dc7613aec44191336884e17603148752e1fi0,LTEJxdmNhNkbAkRvKonkmaNNtSVvPpeLoA,47580113364962821,0xa9ecBF58262CbFc3d43302393Ed8785e58a12d59,Litecoin Punk #12 (Inscription #670),https://emblem.finance/nft?id=47580113364962821
13,671,Litecoin Punk #13 (Inscription 671),Litecoin Punk #13. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/26a6feda4086ca165b6d83900548fac137d203062c5561ff78bae32a18e2542ei0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/26a6feda4086ca165b6d83900548fac137d203062c5561ff78bae32a18e2542ei0,LYaGJEnRHTtGB3M88GNJ1sMGGzJZxXieUz,37430005745870341,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #13 (Inscription #671),https://emblem.finance/nft?id=37430005745870341
14,672,Litecoin Punk #14 (Inscription 672),Litecoin Punk #14. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/23835ee8c46d3fda44d85e6ad2a0bdb38638502e367d8af4a3d37f0e9f226756i0,0xE754b9be1f5997F530f889cea3Fc7744cdF4D86b,https://litecoin.earlyordies.com/inscription/23835ee8c46d3fda44d85e6ad2a0bdb38638502e367d8af4a3d37f0e9f226756i0,LTVn6neb9cwrhxp6hhr61AGUUKxaecAFVW,10796864245944791,0xE754b9be1f5997F530f889cea3Fc7744cdF4D86b,Litecoin Punk #14 (Inscription #672),https://emblem.finance/nft?id=10796864245944791
15,673,Litecoin Punk #15 (Inscription 673),Litecoin Punk #15. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/ebc07ae334fbd2753a32550dd28341af90c2219885b401a529307ed8f093fd17i0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/ebc07ae334fbd2753a32550dd28341af90c2219885b401a529307ed8f093fd17i0,LPpVuYuyC8Hp7W4Gyq1duqWRHD2U59UTHB,21660511926196751,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #15 (Inscription #673),https://emblem.finance/nft?id=21660511926196751
16,674,Litecoin Punk #16 (Inscription 674),Litecoin Punk #16. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/332b1dbc6578ed4372fb5891233203716a0d6b54d95bca7a2d76e90323a508efi0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/332b1dbc6578ed4372fb5891233203716a0d6b54d95bca7a2d76e90323a508efi0,LNYb5ENamRi7JZP5qo3BLQmuepPS4LbHm8,15675649612555151,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #16 (Inscription #674),https://emblem.finance/nft?id=15675649612555151
17,675,Litecoin Punk #17 (Inscription 675),Litecoin Punk #17. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/7adff31bd13d3583842c4d6bb48c280858250a706301412d64cc6bdd1ff65c76i0,0x51781AB8F1261749Eedd5331b8AC9C8302C53a97,https://litecoin.earlyordies.com/inscription/7adff31bd13d3583842c4d6bb48c280858250a706301412d64cc6bdd1ff65c76i0,LY9hmqChEnApuhX2jyzNDbN7ayznqVfQtm,30426600185165621,0x51781AB8F1261749Eedd5331b8AC9C8302C53a97,Litecoin Punk #17 (Inscription #675),https://emblem.finance/nft?id=30426600185165621
18,676,Litecoin Punk #18 (Inscription 676),Litecoin Punk #18. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/097c75cc30bfe10228aa0df6435ff6438102dc5f47a0a6e7dd574f68bfc170a7i0,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,https://litecoin.earlyordies.com/inscription/097c75cc30bfe10228aa0df6435ff6438102dc5f47a0a6e7dd574f68bfc170a7i0,LTRmqzgumqRS6MM2E2KzJVZE4tBMKAKeB7,54912149039283761,0x696ed7b26f4B019CEeC78DC8b9140ad64A6f354B,Litecoin Punk #18 (Inscription #676),https://emblem.finance/nft?id=54912149039283761
19,677,Litecoin Punk #19 (Inscription 677),Litecoin Punk #19. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/8c6fafb571385c7f33ece982946e9f1a722b838c91e472b94fcae58ad649bef5i0,0xa77826195B04076c39354aA2226533C3c4C7D4Ed,https://litecoin.earlyordies.com/inscription/8c6fafb571385c7f33ece982946e9f1a722b838c91e472b94fcae58ad649bef5i0,LeFDpuCQzsem2r74PaBXJVJNjdWVyV4saJ,50004750335763341,0xa77826195B04076c39354aA2226533C3c4C7D4Ed,Litecoin Punk #19 (Inscription #677),https://emblem.finance/nft?id=50004750335763341
20,678,Litecoin Punk #20 (Inscription 678),Litecoin Punk #20. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/f2eea57ffa618128244333043063e4c21daa178e356faf79f893c9133b887f3ei0,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,https://litecoin.earlyordies.com/inscription/f2eea57ffa618128244333043063e4c21daa178e356faf79f893c9133b887f3ei0,LZ7XaCfvLJxiFbQNxBGP2oQtRcrgipqstY,40811208877171671,0x4bC759514c57c1cb002324de8c4402c93fFfc70D,Litecoin Punk #20 (Inscription #678),https://emblem.finance/nft?id=40811208877171671
