642,1.45,#24
643,1.49,#26
644,1.66,#41
645,1.5,#27
646,2.03,#97
647,1.39,#21
648,1.39,#22
649,1.79,#65
650,2.04,#98
651,1.73,#53
669,1.6,#35
670,1.12,#7
671,1.15,#10
672,1.35,#15
673,1.89,#82
674,1.94,#89
675,1.75,#60
676,1.69,#44
677,2,#94
678,1.81,#72
696,1.9,#84
697,2.05,#99
698,1.9,#86
699,1.89,#83
700,1.7,#45
701,1.59,#34
702,1.6,#36
703,2.02,#96
704,1.14,#8
705,1.96,#92
722,1.57,#32
723,1.71,#49
724,2.05,#100
725,1.73,#54
726,1.57,#33
727,1.94,#90
728,1.46,#25
729,1.79,#66
730,0.91,#1
731,1.65,#39
733,1.68,#43
734,1.61,#37
735,1.35,#16
736,1.93,#88
737,1.83,#76
738,1.72,#51
739,1.64,#38
740,1.84,#78
741,1.65,#40
742,1.84,#79
744,1.74,#58
745,1.08,#3
746,1.85,#80
747,1.82,#74
748,1.94,#91
749,1.71,#50
750,1.5,#28
751,1.14,#9
752,1.7,#46
753,1.84,#77
757,1.38,#18
758,1.81,#73
759,1.8,#68
760,1.67,#42
761,1.7,#47
762,1.05,#2
763,1.36,#17
764,1.8,#69
765,1.9,#85
766,1.72,#52
772,1.4,#23
773,1.11,#6
774,1.38,#19
775,1.73,#55
776,1.31,#14
777,1.97,#93
778,2.01,#95
779,1.53,#30
780,1.8,#70
781,1.7,#48
789,1.53,#31
790,1.88,#81
791,1.91,#87
792,1.78,#63
793,1.75,#61
794,1.8,#67
795,1.8,#71
796,1.82,#75
797,1.38,#20
798,1.18,#12
825,1.2,#13
826,1.77,#62
827,1.09,#4
828,1.09,#5
829,1.74,#59
830,1.16,#11
831,1.73,#56
832,1.52,#29
833,1.78,#64
834,1.73,#57
